province,phufull,season,year,week,day,date,Flu Test,A(H1)pdm09 Positive,A(H3) Positive,Total Flu A Positive,Total Flu B Positive,Total Flu Positive,RSV Test,RSV Positive,HPIV Test,HPIV 1 Positive,HPIV 2 Positive,HPIV 3 Positive,HPIV 4 Positive,Other HPIV Positive,Adeno Test,Adeno Positive,HMPV Test,HMPV Positive,Rhino Test,Rhino Positive,Coron Test,Coron Positive,A(UnS) Positive,Entero/Rhino Test,Entero/Rhino Positive,HCOV Test,HCOV Positive,SARS-CoV-2 Test,SARS-CoV-2 Positive,ADV Test,ADV Positive,EV/RV Test,EV/RV Positive,HCoV Test,HCoV Positive
Alberta,Alberta,2019-2020,2020,21,6.0,2020-05-23,4775.0,0.0,0.0,0.0,0.0,0.0,4773.0,0.0,4773.0,0.0,0.0,0.0,2.0,0.0,4773.0,33.0,4773.0,5.0,,,4773.0,3.0,0.0,4773.0,111.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,22,6.0,2020-05-30,4165.0,0.0,0.0,0.0,0.0,0.0,4165.0,0.0,4165.0,0.0,0.0,1.0,1.0,0.0,4165.0,26.0,4165.0,2.0,,,4165.0,3.0,0.0,4165.0,80.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,23,6.0,2020-06-06,3035.0,2.0,0.0,2.0,0.0,2.0,3035.0,0.0,3035.0,0.0,1.0,0.0,0.0,0.0,3035.0,6.0,3035.0,0.0,,,3035.0,2.0,0.0,3035.0,51.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,25,6.0,2020-06-20,2779.0,0.0,0.0,0.0,1.0,1.0,2779.0,0.0,2779.0,0.0,1.0,0.0,0.0,0.0,2779.0,6.0,2779.0,0.0,,,2779.0,1.0,0.0,2779.0,57.0,,,,,,,,,,
Alberta,Alberta,2014-2015,2014,40,6.0,2014-10-04,491.0,0.0,5.0,5.0,1.0,6.0,491.0,0.0,491.0,11.0,0.0,0.0,0.0,0.0,491.0,7.0,491.0,0.0,491.0,171.0,491.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,26,6.0,2020-06-27,2609.0,0.0,0.0,0.0,0.0,0.0,2609.0,0.0,2609.0,1.0,1.0,0.0,0.0,0.0,2609.0,6.0,2609.0,0.0,,,2609.0,3.0,0.0,2609.0,55.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,27,6.0,2020-07-04,2150.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,2150.0,1.0,0.0,0.0,1.0,0.0,2150.0,2.0,2150.0,0.0,,,2150.0,4.0,0.0,2150.0,47.0,,,,,,,,,,
Alberta,Alberta,2019-2020,2020,28,6.0,2020-07-11,2019.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,2019.0,0.0,0.0,0.0,1.0,0.0,2019.0,6.0,2019.0,0.0,,,2019.0,5.0,0.0,2019.0,67.0,,,,,,,,,,
Alberta,Alberta,2014-2015,2015,29,6.0,2015-07-18,493.0,0.0,2.0,3.0,1.0,4.0,493.0,0.0,493.0,11.0,0.0,0.0,0.0,0.0,493.0,7.0,493.0,2.0,493.0,82.0,493.0,0.0,,,,,,,,,,,,,
Alberta,Alberta,2020-2021,2020,39,6.0,2020-09-26,1998.0,0.0,0.0,0.0,0.0,0.0,1998.0,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,1998.0,1.0,1998.0,0.0,,,1998.0,2.0,0.0,1998.0,265.0,0.0,0.0,,,,,,,,
